Year,Country.or.territory.of.asylum.or.residence,Country.or.territory.of.origin,Refugees,Refugees.assisted.by.UNHCR,Total.refugees.and.people.in.refugee.like.situations,Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR
2012,ARE,KEN,5,5,5,5
2012,ARG,KEN,1,1,1,1
2012,AUL,KEN,55,0,55,0
2012,AUS,KEN,24,0,24,0
2012,BEL,KEN,28,0,28,0
2012,BOT,KEN,4,4,4,4
2012,CAN,KEN,996,0,996,0
2012,CHL,KEN,2,1,2,1
2012,DEN,KEN,8,0,8,0
2012,DJB,KEN,9,9,9,9
2012,ETH,KEN,2894,2894,2894,NA
2012,FIN,KEN,1,0,1,0
2012,FRA,KEN,48,0,48,0
2012,GBR,KEN,469,0,469,0
2012,GFR,KEN,365,0,365,0
2012,HUN,KEN,4,0,4,0
2012,ICE,KEN,4,0,4,0
2012,IRE,KEN,78,0,78,0
2012,ITA,KEN,75,0,75,0
2012,KOR,KEN,3,1,3,1
2012,LVA,KEN,2,0,2,0
2012,MEX,KEN,0,0,0,0
2012,MLS,KEN,3,3,3,3
2012,NET,KEN,32,0,32,0
2012,NOR,KEN,16,0,16,0
2012,NZL,KEN,2,0,2,0
2012,POL,KEN,5,0,5,0
2012,POR,KEN,5,0,5,0
2012,ROM,KEN,2,0,2,0
2012,RSA,KEN,53,6,53,6
2012,SUD,KEN,3,0,3,0
2012,SWA,KEN,2,0,2,0
2012,SWE,KEN,68,0,68,0
2012,SWI,KEN,47,0,47,0
2012,TRT,KEN,1,1,1,1
2012,TUN,KEN,0,0,0,0
2012,UGA,KEN,1124,1124,1124,NA
2012,USA,KEN,2512,0,2512,0
2012,ZAM,KEN,0,0,0,0
2011,ARE,KEN,2,2,2,2
2011,ARG,KEN,1,1,1,1
2011,AUL,KEN,43,0,43,0
2011,AUS,KEN,20,0,20,0
2011,BEL,KEN,22,0,22,0
2011,BOT,KEN,3,3,3,3
2011,CAN,KEN,942,0,942,0
2011,CHL,KEN,2,2,2,2
2011,DEN,KEN,7,0,7,0
2011,DJB,KEN,9,9,9,9
2011,ETH,KEN,2454,2454,2454,NA
2011,FIN,KEN,1,0,1,0
2011,FRA,KEN,29,0,29,0
2011,GBR,KEN,599,0,599,0
2011,GFR,KEN,313,0,313,0
2011,HUN,KEN,4,0,4,0
2011,ICE,KEN,4,0,4,0
2011,IRE,KEN,96,0,96,0
2011,ITA,KEN,71,0,71,0
2011,KOR,KEN,2,0,2,0
2011,LVA,KEN,2,0,2,0
2011,MEX,KEN,1,1,1,1
2011,MLS,KEN,3,3,3,3
2011,NET,KEN,32,0,32,0
2011,NOR,KEN,18,0,18,0
2011,NZL,KEN,2,0,2,0
2011,POL,KEN,3,0,3,0
2011,POR,KEN,1,0,1,0
2011,ROM,KEN,2,0,2,0
2011,RSA,KEN,52,0,52,0
2011,SUD,KEN,2,1,2,1
2011,SWA,KEN,1,0,1,0
2011,SWE,KEN,72,0,72,0
2011,SWI,KEN,38,0,38,0
2011,TRT,KEN,1,1,1,1
2011,TUN,KEN,1,1,1,1
2011,UGA,KEN,1338,1338,1338,NA
2011,USA,KEN,2551,0,2551,0
2011,ZAM,KEN,1,1,1,1
2010,ARE,KEN,2,2,2,2
2010,ARG,KEN,1,1,1,1
2010,AUL,KEN,38,0,38,0
2010,AUS,KEN,11,0,11,0
2010,BEL,KEN,18,0,18,0
2010,BOT,KEN,2,2,2,2
2010,CAN,KEN,882,0,882,0
2010,CHL,KEN,2,0,2,0
2010,DEN,KEN,7,0,7,0
2010,DJB,KEN,9,9,9,9
2010,ETH,KEN,2425,2425,2425,NA
2010,FRA,KEN,25,0,25,0
2010,GBR,KEN,644,0,644,0
2010,GFR,KEN,290,0,290,0
2010,HUN,KEN,5,0,5,0
2010,ICE,KEN,4,0,4,0
2010,IRE,KEN,105,0,105,0
2010,ITA,KEN,65,0,65,0
2010,KOR,KEN,1,1,1,1
2010,LVA,KEN,2,0,2,0
2010,MEX,KEN,1,0,1,0
2010,MLS,KEN,3,3,3,3
2010,NET,KEN,33,0,33,0
2010,NOR,KEN,18,0,18,0
2010,NZL,KEN,2,0,2,0
2010,ROM,KEN,2,2,2,2
2010,RSA,KEN,52,0,52,0
2010,SUD,KEN,1,1,1,1
2010,SWA,KEN,1,0,1,0
2010,SWE,KEN,54,0,54,0
2010,SWI,KEN,32,0,32,0
2010,TRT,KEN,1,1,1,1
2010,UGA,KEN,1397,1397,1397,NA
2010,USA,KEN,2466,0,2466,0
2010,ZAM,KEN,1,0,1,0
2009,ARG,KEN,1,1,1,1
2009,AUL,KEN,33,NA,33,0
2009,AUS,KEN,9,NA,9,0
2009,BEL,KEN,16,0,16,0
2009,BOT,KEN,3,3,3,3
2009,CAN,KEN,849,NA,849,0
2009,DEN,KEN,6,0,6,0
2009,ARE,KEN,1,1,1,1
2009,ETH,KEN,2732,2732,2732,NA
2009,FRA,KEN,18,NA,18,0
2009,GFR,KEN,253,NA,253,0
2009,GRE,KEN,0,0,0,0
2009,HUN,KEN,5,5,5,5
2009,ICE,KEN,1,NA,1,0
2009,IRE,KEN,110,0,110,0
2009,ITA,KEN,54,NA,54,0
2009,LVA,KEN,2,0,2,0
2009,MLW,KEN,0,NA,0,0
2009,MEX,KEN,1,NA,1,0
2009,NET,KEN,25,0,25,0
2009,NZL,KEN,2,NA,2,0
2009,NOR,KEN,17,NA,17,0
2009,POL,KEN,0,0,0,0
2009,KOR,KEN,1,0,1,0
2009,ROM,KEN,2,1,2,1
2009,RSA,KEN,36,0,36,0
2009,SWA,KEN,1,NA,1,0
2009,SWE,KEN,49,NA,49,0
2009,SWI,KEN,24,0,24,0
2009,SYR,KEN,0,0,0,0
2009,TRT,KEN,1,1,1,1
2009,UGA,KEN,1684,1684,1684,NA
2009,GBR,KEN,1387,NA,1387,0
2009,USA,KEN,2297,0,2297,0
2008,FRA,KEN,19,NA,19,NA
2008,GBR,KEN,1586,NA,1586,NA
2008,DEN,KEN,5,NA,5,NA
2008,ETH,KEN,2645,2645,2645,NA
2008,HUN,KEN,5,5,5,5
2008,ICE,KEN,1,NA,1,NA
2008,IRE,KEN,107,NA,107,NA
2008,GFR,KEN,284,NA,284,NA
2008,GRE,KEN,3,NA,3,NA
2008,AUS,KEN,4,NA,4,NA
2008,BEL,KEN,9,NA,9,NA
2008,ARG,KEN,1,1,1,1
2008,AUL,KEN,23,NA,23,NA
2008,CHL,KEN,1,1,1,1
2008,BOT,KEN,3,3,3,3
2008,CAN,KEN,820,NA,820,NA
2008,SWA,KEN,1,NA,1,NA
2008,SWI,KEN,25,NA,25,NA
2008,SWE,KEN,40,NA,40,NA
2008,ROM,KEN,1,NA,1,NA
2008,RSA,KEN,32,NA,32,NA
2008,USA,KEN,2081,NA,2081,NA
2008,TAN,KEN,1,1,1,1
2008,SYR,KEN,3,3,3,3
2008,UGA,KEN,1908,1908,1908,NA
2008,TRT,KEN,1,1,1,1
2008,LVA,KEN,2,NA,2,NA
2008,MEX,KEN,1,NA,1,NA
2008,ITA,KEN,31,NA,31,NA
2008,KOR,KEN,1,NA,1,NA
2008,NZL,KEN,1,NA,1,NA
2008,POL,KEN,1,NA,1,NA
2008,NET,KEN,25,NA,25,NA
2008,NOR,KEN,17,NA,17,NA
2007,AUL,KEN,74,NA,74,NA
2007,AUS,KEN,3,NA,3,NA
2007,BEL,KEN,1,NA,1,NA
2007,BOT,KEN,6,6,6,6
2007,CAN,KEN,760,NA,760,NA
2007,CAR,KEN,1,NA,1,NA
2007,DEN,KEN,7,NA,7,NA
2007,ETH,KEN,2644,2644,2644,NA
2007,FRA,KEN,16,NA,16,NA
2007,GBR,KEN,1581,NA,1581,NA
2007,GFR,KEN,284,NA,284,NA
2007,GRE,KEN,3,NA,3,NA
2007,HUN,KEN,5,5,5,5
2007,ICE,KEN,1,NA,1,NA
2007,IRE,KEN,105,NA,105,NA
2007,ITA,KEN,4,NA,4,NA
2007,KOR,KEN,1,1,1,1
2007,MEX,KEN,1,1,1,1
2007,MLW,KEN,NA,NA,NA,NA
2007,NET,KEN,25,NA,25,NA
2007,NOR,KEN,14,NA,14,NA
2007,POL,KEN,1,NA,1,NA
2007,RSA,KEN,32,30,32,30
2007,SPA,KEN,NA,NA,NA,NA
2007,SWA,KEN,1,NA,1,NA
2007,SWE,KEN,39,NA,39,NA
2007,SWI,KEN,23,NA,23,NA
2007,SYR,KEN,3,3,3,3
2007,TRT,KEN,1,1,1,1
2007,UGA,KEN,54,54,54,54
2007,USA,KEN,1856,NA,1856,NA
2006,AUL,KEN,893,NA,893,NA
2006,AUS,KEN,2,NA,2,NA
2006,BEL,KEN,NA,NA,NA,NA
2006,BOT,KEN,8,NA,8,NA
2006,CAN,KEN,567,NA,567,NA
2006,CAR,KEN,1,NA,1,NA
2006,DEN,KEN,16,NA,16,NA
2006,FRA,KEN,12,NA,12,NA
2006,GBR,KEN,1563,NA,1563,NA
2006,GFR,KEN,344,NA,344,NA
2006,GRE,KEN,3,NA,3,NA
2006,HUN,KEN,3,NA,3,NA
2006,IRE,KEN,100,NA,100,NA
2006,ITA,KEN,3,NA,3,NA
2006,MEX,KEN,1,NA,1,NA
2006,MLW,KEN,1,1,1,1
2006,NET,KEN,28,NA,28,NA
2006,NOR,KEN,9,NA,9,NA
2006,POL,KEN,1,NA,1,NA
2006,ROM,KEN,NA,NA,NA,NA
2006,RSA,KEN,22,18,22,18
2006,RWA,KEN,NA,NA,NA,NA
2006,SPA,KEN,4,NA,4,NA
2006,SWA,KEN,1,NA,1,NA
2006,SWE,KEN,37,NA,37,NA
2006,SWI,KEN,18,NA,18,NA
2006,SYR,KEN,4,NA,4,NA
2006,UGA,KEN,49,49,49,49
2006,USA,KEN,1667,NA,1667,NA
2005,AUL,KEN,881,NA,881,NA
2005,AUS,KEN,1,NA,1,NA
2005,BEL,KEN,1,NA,1,NA
2005,BOT,KEN,8,8,8,8
2005,CAN,KEN,474,NA,474,NA
2005,CAR,KEN,1,1,1,1
2005,DEN,KEN,16,NA,16,NA
2005,ETH,KEN,NA,NA,NA,NA
2005,FRA,KEN,12,NA,12,NA
2005,GBR,KEN,1563,NA,1563,NA
2005,GFR,KEN,290,NA,290,NA
2005,GRE,KEN,3,NA,3,NA
2005,HUN,KEN,3,NA,3,NA
